sub_id,trial_number,trial_mode,box_number,total_distance,trial_time
s101,1,4,12,0.6219871779886404,7.549
s101,2,3,12,1.1664361617018806,4.903
s101,3,1,8,0.6472255069575086,2.876
s101,4,1,4,0.3726587883983379,1.571
s101,5,2,12,1.4808791807556292,10.414
s101,6,3,8,0.6982892171437652,2.73
s101,7,2,4,0.4592330651112675,2.579
s101,8,3,8,0.7460000338270599,3.032
s101,9,4,4,0.4997173103113303,2.401
s101,10,1,4,0.4195553154454852,1.731
s101,11,4,4,0.5605692677201839,2.454
s101,12,3,12,0.9456234161975556,3.501
s101,13,3,4,0.31799812242573755,1.223
s101,14,1,12,1.0332516190064287,3.756
s101,15,3,8,0.7078215272154804,2.885
s101,16,2,8,0.5397754208830273,3.095
s101,17,4,8,0.48591942459777615,2.847
s101,18,2,4,0.4731146297930908,2.518
s101,19,3,12,1.2069870803422855,5.1
s101,20,1,4,0.1994482538799771,1.083
s101,21,1,4,0.2829684837890895,1.21
s101,22,2,12,0.8758528231900273,5.654
s101,23,2,4,0.23428300019267917,1.082
s101,24,3,12,0.7903663420195566,3.829
s101,25,4,8,0.4609360340266256,2.372
s101,26,1,8,0.6983345907468874,2.781
s101,27,1,8,0.5869254280138702,2.502
s101,28,4,4,0.2883620823922892,1.353
s101,29,1,8,0.47859361482614365,1.988
s101,30,4,4,0.2875257121941616,1.203
s101,31,2,12,0.5857471227664998,2.881
s101,32,4,4,0.186131295433132,0.971
s101,33,1,4,0.41546294728057087,1.619
s101,34,4,8,0.7580780203709996,3.659
s101,35,3,4,0.3565548482214114,1.458
s101,36,4,4,0.21634187319405077,0.965
s101,37,1,4,0.4121109273510011,1.541
s101,38,1,12,0.9068249224478704,3.748
s101,39,4,8,0.3944841250265556,1.698
s101,40,2,8,0.5685283816676856,2.608
s101,41,3,8,0.6455017168317028,2.641
s101,42,4,4,0.20884109908569207,1.032
s101,43,3,12,0.8600484963507437,3.65
s101,44,4,4,0.5469367111006176,1.935
s101,45,1,4,0.385708271275244,1.665
s101,46,4,12,0.6910786280393532,3.923
s101,47,1,12,0.850915902296263,3.641
s101,48,1,12,0.8463456045650269,4.243
s101,49,4,4,0.24686010383115095,1.091
s101,50,4,4,0.15645118748889528,0.839
s101,51,1,8,0.7874890458583353,3.006
s101,52,4,4,0.3716532084987391,1.629
s101,53,1,8,0.7152011948546282,3.015
s101,54,2,8,0.5078471450949911,2.054
s101,55,4,12,0.7117409447502981,4.009
s101,56,4,4,0.14576403128821,0.911
s101,57,2,12,0.5006092967693023,2.501
s101,58,3,8,0.6538678012883542,2.661
s101,59,2,12,0.5962820432569366,2.728
s101,60,1,4,0.32206302101276435,1.353
s101,61,2,4,0.23772986611730473,1.088
s101,62,3,12,0.7567404009857313,3.74
s101,63,1,4,0.4365475425704175,1.715
s101,64,3,8,0.5955928569687431,2.508
s101,65,4,4,0.17277786081341295,0.852
s101,66,2,8,0.3868497987480024,1.678
s101,67,1,8,0.6494808761570234,2.595
s101,68,2,8,0.42659435694666775,1.839
s101,69,1,4,0.520555123250246,2.123
s101,70,2,8,0.32994562780950637,1.679
s101,71,1,12,0.7711412433639481,3.949
s101,72,1,12,0.7892475451434627,4.35
