sub_id,trial_number,trial_mode,box_number,total_distance,trial_time
s101,1,4,12,1.6591043982568727,10.479
s101,2,3,12,0.8228614067401178,4.092
s101,3,1,8,0.6523283075795788,3.649
s101,4,1,4,0.3515255511809261,1.779
s101,5,2,12,0.8036245128614324,5.499
s101,6,4,8,0.35323356162316555,2.195
s101,7,2,4,0.2669739062157133,1.416
s101,8,3,8,0.669528206447103,3.326
s101,9,4,4,0.8081082678238155,5.424
s101,10,1,4,0.36138796769796566,1.726
s101,11,3,4,0.3724091568013209,1.92
s101,12,4,12,1.0378157171378202,6.696
s101,13,3,4,0.3111166883876808,1.529
s101,14,1,12,0.7425440197267282,4.225
s101,15,4,8,0.4315734767583069,3.244
s101,16,2,8,0.34104658698637175,2.188
s101,17,3,8,0.5000902425767618,2.804
s101,18,2,4,0.39802494664966,2.127
s101,19,4,12,1.8121894638498155,11.004
s101,20,1,4,0.2746978950900758,1.551
s101,21,1,4,0.29724742360209006,1.702
s101,22,2,12,0.7497981688425893,3.88
s101,23,2,4,0.21751949705222193,1.251
s101,24,4,12,0.4055264387807333,2.525
s101,25,4,8,1.083315368808641,5.276
s101,26,1,8,0.671303459787211,3.888
s101,27,1,8,0.4866952871470645,2.744
s101,28,4,4,0.23554041961898492,1.297
s101,29,1,8,0.4587624191625486,2.444
s101,30,4,4,0.2664677312550915,1.263
s101,31,2,12,0.8325256767469318,5.766
s101,32,3,4,0.3233540972439913,1.636
s101,33,1,4,0.3663773463010025,1.699
s101,34,4,8,0.8021175717371547,3.899
s101,35,4,4,0.15357073865865234,1.314
s101,36,4,4,0.19228721915707295,1.273
s101,37,1,4,0.41241229066639423,2.05
s101,38,1,12,0.7216001044757516,3.798
s101,39,4,8,0.3757682958407215,2.242
s101,40,2,8,1.0036577408599612,7.266
s101,41,3,8,0.5661405247509425,2.595
s101,42,4,4,0.19731993676176324,1.077
s101,43,4,12,0.3772759775443493,2.175
s101,44,3,4,0.5954043330558043,2.599
s101,45,1,4,0.37004315721010783,1.886
s101,46,4,12,0.9412298408053398,5.402
